"run_id","phase","sample_index","timestamp_ms","value","anomaly_type","decision_reason","json_event_emitted","event_id","local_alarm","observed_rgb","observed_buzzer","notes"
"2026-07-19_run1","ambient","1","","26070","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","2","","26006","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","3","","25990","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","4","","25974","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","5","","26022","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","6","","25974","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","7","","26006","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","8","","26006","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","9","","25990","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","10","","25958","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","11","","25942","normal","normal","false","","","","",""
"2026-07-19_run1","ambient","12","","25974","normal","normal","false","","","","",""
"2026-07-19_run1","covered","1","15547","4817","low_light","entered_anomaly","true","1","true","","",""
"2026-07-19_run1","covered","2","","4305","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","3","","4369","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","4","","4401","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","5","","4385","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","6","","4497","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","7","","4801","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","8","","4689","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","9","","4593","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","10","","4529","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","covered","11","20815","4497","low_light","cooldown_repeat","true","2","true","","",""
"2026-07-19_run1","covered","12","","4465","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","ambient recovery","1","","25398","sudden_rise","recovered","false","","","","",""
"2026-07-19_run1","ambient recovery","2","","25382","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","3","","25398","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","4","","25350","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","5","","25318","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","6","","25302","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","7","","25286","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","8","","25366","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","9","","25366","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","10","","25318","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","11","","25302","normal","normal","false","","","","",""
"2026-07-19_run1","ambient recovery","12","","25286","normal","normal","false","","","","",""
"2026-07-19_run1","phone flashlight","1","37117","38105","high_light","entered_anomaly","true","3","true","","",""
"2026-07-19_run1","phone flashlight","2","","38169","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","3","","38169","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","4","","38249","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","5","","38329","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","6","","38393","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","7","","38457","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","8","","38393","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","9","","38473","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","10","","38233","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","phone flashlight","11","42389","38137","high_light","cooldown_repeat","true","4","true","","",""
"2026-07-19_run1","phone flashlight","12","","38185","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run1","final ambient recovery","1","","25222","sudden_drop","recovered","false","","","","",""
"2026-07-19_run1","final ambient recovery","2","","25206","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","3","","25222","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","4","","25174","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","5","","25190","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","6","","25206","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","7","","25126","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","8","","25110","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","9","","25254","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","10","","25190","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","11","","25286","normal","normal","false","","","","",""
"2026-07-19_run1","final ambient recovery","12","","25318","normal","normal","false","","","","",""
