"run_id","phase","sample_index","timestamp_ms","value","anomaly_type","decision_reason","json_event_emitted","event_id","local_alarm","observed_rgb","observed_buzzer","notes"
"2026-07-19_run2","ambient","1","","10946","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","2","","10914","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","3","","10930","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","4","","10914","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","5","","10914","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","6","","10930","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","7","","10962","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","8","","10914","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","9","","10898","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","10","","10850","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","11","","10610","normal","normal","false","","","","",""
"2026-07-19_run2","ambient","12","","10770","normal","normal","false","","","","",""
"2026-07-19_run2","covered","1","15547","1392","low_light","entered_anomaly","true","1","true","","",""
"2026-07-19_run2","covered","2","","752","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","3","","784","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","4","","736","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","5","","736","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","6","","736","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","7","","704","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","8","","720","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","9","","720","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","10","","736","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","covered","11","20815","736","low_light","cooldown_repeat","true","2","true","","",""
"2026-07-19_run2","covered","12","","736","low_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","ambient recovery","1","","10866","sudden_rise","recovered","false","","","","",""
"2026-07-19_run2","ambient recovery","2","","10898","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","3","","10882","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","4","","10914","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","5","","10898","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","6","","10898","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","7","","10866","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","8","","10850","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","9","","10834","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","10","","10834","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","11","","10834","normal","normal","false","","","","",""
"2026-07-19_run2","ambient recovery","12","","10834","normal","normal","false","","","","",""
"2026-07-19_run2","phone flashlight","1","37127","38969","high_light","entered_anomaly","true","3","true","","",""
"2026-07-19_run2","phone flashlight","2","","39081","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","3","","39145","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","4","","38969","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","5","","39113","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","6","","39145","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","7","","41546","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","8","","41466","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","9","","41418","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","10","","40377","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","phone flashlight","11","42396","40553","high_light","cooldown_repeat","true","4","true","","",""
"2026-07-19_run2","phone flashlight","12","","40169","high_light","suppressed_same_anomaly","false","","","","",""
"2026-07-19_run2","final ambient recovery","1","","10706","sudden_drop","recovered","false","","","","",""
"2026-07-19_run2","final ambient recovery","2","","10642","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","3","","10674","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","4","","10690","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","5","","10674","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","6","","10546","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","7","","10594","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","8","","10642","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","9","","10674","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","10","","10658","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","11","","10690","normal","normal","false","","","","",""
"2026-07-19_run2","final ambient recovery","12","","10690","normal","normal","false","","","","",""
